Age,Age_Group,Attriation_Num,Attrition,Attrition Status,Attrition_Flag,BusinessTravel,Current_Role_Tenure_Band,DailyRate,Department,dept,Distance_Band,DistanceFromHome,Education,Education_Label,EducationField,EmpID,Env_Sat_lable,EnvironmentSatisfaction,Experience_Band,Gender,HourlyRate,Income_Band,Job_Involve_lable,Job_Sat_lable,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,Overtime Custom,OverTime_Flag,PercentSalaryHike,PerformanceRating,Previous_Employers_Band,Promotion Band new,Sum of Promotion Band Sort,Promotion_Gap_Band,Relationship_Sat_lable,RelationshipSatisfaction,Salary_Hike_Band,StockOptionLevel,Tenure_Band,Total Working Experience Band,TrainingTimesLastYear,TotalWorkingYears,W_L_Balance_lable,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
21,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,1334,Research & Development,R & D,6-10,10,3,Bachelor,Life Sciences,EMP-1079,High,3,0-5 Years,Female,36,$0-$3000,Medium,Low,2,1,Laboratory Technician,1,Single,1416,17258,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,0,0-1 Years,0–5 Years,6,1,Medium,2,1,0,1,0
21,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,1427,Research & Development,R & D,11-20,18,1,Below College,Other,EMP-923,Very High,4,0-5 Years,Female,65,$0-$3000,High,Very High,3,1,Research Scientist,4,Single,2693,8870,1,No,Standard,0,19,3,1-2,0-1 Years,1,0-2 Years,Low,1,16-20%,0,0-1 Years,0–5 Years,3,1,Medium,2,1,0,0,0
22,Under 25,0,No,Active,0,Non-Travel,0-2 Years,457,Research & Development,R & D,21+,26,2,College,Other,EMP-1605,Medium,2,0-5 Years,Female,85,$0-$3000,Medium,High,2,1,Research Scientist,3,Married,2814,10293,1,Yes,Overtime,1,14,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,0,2-5 Years,0–5 Years,2,4,Medium,2,4,2,1,3
22,Under 25,0,No,Active,0,Non-Travel,0-2 Years,1123,Research & Development,R & D,11-20,16,2,College,Medical,EMP-22,Very High,4,0-5 Years,Male,96,$0-$3000,Very High,Very High,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Yes,Overtime,1,13,3,1-2,0-1 Years,1,0-2 Years,Medium,2,11-15%,2,0-1 Years,0–5 Years,2,1,Medium,2,1,0,0,0
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,253,Research & Development,R & D,11-20,11,3,Bachelor,Medical,EMP-511,Low,1,0-5 Years,Female,43,$0-$3000,High,Medium,3,1,Research Scientist,2,Married,2244,24440,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,Very High,4,11-15%,1,2-5 Years,0–5 Years,1,2,High,3,2,1,1,2
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,534,Research & Development,R & D,11-20,15,3,Bachelor,Medical,EMP-144,Medium,2,0-5 Years,Female,59,$0-$3000,High,Very High,3,1,Laboratory Technician,4,Single,2871,23785,1,No,Standard,0,15,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,0-1 Years,0–5 Years,5,1,High,3,0,0,0,0
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,581,Research & Development,R & D,0-5,1,2,College,Life Sciences,EMP-2007,Very High,4,0-5 Years,Male,63,$3000-$5000,High,High,3,1,Research Scientist,3,Single,3375,17624,0,No,Standard,0,12,3,0,0-1 Years,1,0-2 Years,Very High,4,11-15%,0,2-5 Years,0–5 Years,2,4,Very High,4,3,2,1,2
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,594,Research & Development,R & D,0-5,2,1,Below College,Technical Degree,EMP-169,High,3,0-5 Years,Male,100,$0-$3000,High,Very High,3,1,Laboratory Technician,4,Married,2523,19299,0,No,Standard,0,14,3,0,2–3 Years,2,0-2 Years,High,3,11-15%,1,2-5 Years,0–5 Years,2,3,High,3,2,1,2,1
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,604,Research & Development,R & D,6-10,6,1,Below College,Medical,EMP-675,Low,1,0-5 Years,Male,69,$0-$3000,High,High,3,1,Research Scientist,3,Married,2773,12145,0,No,Standard,0,20,4,0,2–3 Years,2,0-2 Years,Very High,4,16-20%,0,2-5 Years,0–5 Years,3,3,High,3,2,2,2,2
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,1136,Research & Development,R & D,0-5,5,3,Bachelor,Life Sciences,EMP-284,Very High,4,0-5 Years,Male,60,$0-$3000,Very High,Medium,4,1,Research Scientist,2,Divorced,2328,12392,1,Yes,Overtime,1,16,3,1-2,2–3 Years,2,0-2 Years,Low,1,16-20%,1,2-5 Years,0–5 Years,2,4,Medium,2,4,2,2,2
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,1230,Research & Development,R & D,0-5,1,2,College,Life Sciences,EMP-872,Very High,4,0-5 Years,Male,33,$3000-$5000,Medium,Very High,2,2,Manufacturing Director,4,Married,4775,19146,6,No,Standard,0,22,4,9+,2–3 Years,2,0-2 Years,Low,1,21%+,2,2-5 Years,0–5 Years,2,4,Low,1,2,2,2,2
22,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,1256,Research & Development,R & D,11-20,19,1,Below College,Medical,EMP-217,High,3,0-5 Years,Male,80,$0-$3000,High,Very High,3,1,Research Scientist,4,Married,2323,11992,1,No,Standard,0,24,4,1-2,2–3 Years,2,0-2 Years,Low,1,21%+,2,2-5 Years,0–5 Years,6,2,High,3,2,2,2,2
22,Under 25,0,No,Active,0,Travel_Rarely,3-5 Years,217,Research & Development,R & D,6-10,8,1,Below College,Life Sciences,EMP-1019,Medium,2,0-5 Years,Male,94,$0-$3000,Low,Low,1,1,Laboratory Technician,1,Married,2451,6881,1,No,Standard,0,15,3,1-2,0-1 Years,1,0-2 Years,Low,1,11-15%,1,2-5 Years,0–5 Years,3,4,Medium,2,4,3,1,1
22,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,1256,Research & Development,R & D,0-5,3,4,Master,Life Sciences,EMP-1203,High,3,0-5 Years,Male,48,$0-$3000,Medium,Very High,2,1,Research Scientist,4,Married,2853,4223,0,Yes,Overtime,1,11,3,0,0-1 Years,1,0-2 Years,Medium,2,11-15%,1,0-1 Years,0–5 Years,5,1,High,3,0,0,0,0
22,Under 25,1,Yes,Left,1,Travel_Frequently,0-2 Years,1368,Research & Development,R & D,0-5,4,1,Below College,Technical Degree,EMP-593,High,3,0-5 Years,Male,99,$3000-$5000,Medium,High,2,1,Laboratory Technician,3,Single,3894,9129,5,No,Standard,0,16,3,9+,0-1 Years,1,0-2 Years,High,3,16-20%,0,2-5 Years,0–5 Years,3,4,High,3,2,2,1,2
22,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,391,Research & Development,R & D,6-10,7,1,Below College,Life Sciences,EMP-1878,Very High,4,0-5 Years,Male,75,$0-$3000,High,Medium,3,1,Research Scientist,2,Single,2472,26092,1,Yes,Overtime,1,23,4,1-2,0-1 Years,1,0-2 Years,Low,1,21%+,0,0-1 Years,0–5 Years,2,1,High,3,1,0,0,0
22,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,617,Research & Development,R & D,0-5,3,1,Below College,Life Sciences,EMP-926,Medium,2,0-5 Years,Female,34,$3000-$5000,High,High,3,2,Manufacturing Director,3,Married,4171,10022,0,Yes,Overtime,1,19,3,0,0-1 Years,1,0-2 Years,Low,1,16-20%,1,2-5 Years,0–5 Years,3,4,Very High,4,3,2,0,2
22,Under 25,1,Yes,Left,1,Travel_Rarely,0-2 Years,1294,Research & Development,R & D,6-10,8,1,Below College,Medical,EMP-1783,High,3,0-5 Years,Female,79,$0-$3000,High,Low,3,1,Laboratory Technician,1,Married,2398,15999,1,Yes,Overtime,1,17,3,1-2,0-1 Years,1,0-2 Years,High,3,16-20%,0,0-1 Years,0–5 Years,6,1,High,3,1,0,0,0
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,160,Research & Development,R & D,0-5,4,1,Below College,Medical,EMP-1735,High,3,0-5 Years,Female,51,$3000-$5000,High,Medium,3,1,Laboratory Technician,2,Single,3295,12862,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,0–5 Years,3,3,Low,1,3,2,1,2
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,310,Research & Development,R & D,6-10,10,1,Below College,Medical,EMP-784,Low,1,0-5 Years,Male,79,$3000-$5000,Very High,High,4,1,Research Scientist,3,Single,3505,19630,1,No,Standard,0,18,3,1-2,0-1 Years,1,0-2 Years,Very High,4,16-20%,0,2-5 Years,0–5 Years,3,2,High,3,2,2,0,2
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,373,Research & Development,R & D,0-5,1,2,College,Life Sciences,EMP-1270,Very High,4,0-5 Years,Male,47,$0-$3000,High,High,3,1,Research Scientist,3,Married,1223,16901,1,No,Standard,0,22,4,1-2,0-1 Years,1,0-2 Years,Very High,4,21%+,1,0-1 Years,0–5 Years,2,1,High,3,1,0,0,1
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,541,Sales,Sales,0-5,2,1,Below College,Technical Degree,EMP-113,High,3,0-5 Years,Male,62,$0-$3000,High,Low,3,1,Sales Representative,1,Divorced,2322,9518,3,No,Standard,0,13,3,9+,0-1 Years,1,0-2 Years,High,3,11-15%,1,0-1 Years,0–5 Years,3,3,High,3,0,0,0,0
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,571,Research & Development,R & D,11-20,12,2,College,Other,EMP-1982,Very High,4,0-5 Years,Male,78,$0-$3000,High,Very High,3,1,Laboratory Technician,4,Single,2647,13672,1,No,Standard,0,13,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,0,2-5 Years,0–5 Years,6,5,Very High,4,5,2,1,4
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,885,Research & Development,R & D,0-5,4,3,Bachelor,Medical,EMP-705,Low,1,0-5 Years,Male,58,$0-$3000,Very High,Low,4,1,Research Scientist,1,Married,2819,8544,2,No,Standard,0,16,3,1-2,0-1 Years,1,0-2 Years,Low,1,16-20%,1,2-5 Years,0–5 Years,3,5,Very High,4,3,2,0,2
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,977,Research & Development,R & D,6-10,10,3,Bachelor,Technical Degree,EMP-1592,Very High,4,0-5 Years,Male,45,$0-$3000,Very High,High,4,1,Research Scientist,3,Married,2073,12826,2,No,Standard,0,16,3,1-2,2–3 Years,2,0-2 Years,Very High,4,16-20%,1,2-5 Years,0–5 Years,2,4,High,3,2,2,2,2
23,Under 25,0,No,Active,0,Travel_Rarely,0-2 Years,1309,Research & Development,R & D,21+,26,1,Below College,Life Sciences,EMP-465,High,3,0-5 Years,Male,83,$0-$3000,High,Very High,3,1,Research Scientist,4,Divorced,2904,16092,1,No,Standard,0,12,3,1-2,0-1 Years,1,0-2 Years,High,3,11-15%,2,2-5 Years,0–5 Years,2,4,Medium,2,4,2,0,2
